Policy Number,Customer ID,Customer Name,Mobile Number,Email Id,Age,Gender,Marital Status,Dependents,Location,Occupation,Claims (3yrs),Claim Type,Online Activity,Service Calls,Current Insurance,Coverage,Renewal,Premium (3yrs),Recommended Insurance,Page_Visits_Health,Page_Visits_Auto,Page_Visits_Home,Page_Visits_Life,Time_Spent_Health,Time_Spent_Auto
21590,171,Garrett Moore,7175082770,samuelmoyer@example.net,50,Male,Married,5,South Beverly,"Surveyor, rural practice",0,Natural Disaster,41,7,Home Insurance A,Partial,2025-09-26,4756,Hospital indemnity insurance,19,9,2,9,45,85
37979,391,Wendy Evans,878-640-4815,rcallahan@example.org,39,Male,Married,5,New Steven,Estate manager/land agent,1,Theft,66,7,Home Insurance A,Partial,2025-02-03,3713,Health Insurance,11,14,5,7,113,28
30160,671,Mr. Roy Leon,+1-500-472-5730x9600,floreskathleen@example.com,42,Female,Single,0,West Sharonfort,Museum education officer,3,Theft,31,1,Life Insurance D,Full,2025-01-03,2062,Disability Insurance,2,9,16,12,25,80
62240,674,Melissa Jones,(792)426-2307x1138,sylvia09@example.net,67,Female,Married,3,New Albert,Warehouse manager,3,Accident,72,9,Auto Insurance B,Full,2025-04-07,3024,Disability Insurance,19,5,19,19,114,67
70474,185,Amber Walker,2609834388,msmith@example.com,18,Female,Single,3,Grayton,"Exhibitions officer, museum/gallery",2,Accident,46,1,Auto Insurance B,Partial,2026-04-15,1646,Disability Insurance,14,18,1,14,113,59
83450,438,Jamie Vazquez,613.355.1158x3034,stephen40@example.net,33,Female,Single,1,Collinsmouth,Fish farm manager,0,Accident,91,6,Auto Insurance B,Full,2025-08-22,4650,Hospital indemnity insurance,3,1,15,10,61,76
50009,516,Daniel Maldonado,3598996454,rogersbrooke@example.org,49,Female,Married,2,South Brian,Purchasing manager,2,Natural Disaster,73,0,Auto Insurance B,Full,2026-03-30,3707,Life Insurance,10,1,3,16,16,7
57854,853,Kimberly Allen,766.350.3752x173,maria46@example.com,55,Female,Married,3,New Edward,Horticultural therapist,0,Natural Disaster,85,8,Life Insurance D,Full,2025-09-24,3605,Accident Insurance,20,8,13,1,11,75
39391,415,Thomas Morton,352.585.8071,nsalazar@example.org,24,Male,Single,3,Harrisonton,Food technologist,1,Theft,21,1,Home Insurance A,Partial,2024-07-24,1051,Health Insurance,20,18,9,4,86,19
97662,551,Daniel Kim,001-633-579-8528x3275,mooreapril@example.net,68,Female,Single,0,Lake James,Network engineer,2,Theft,49,5,Auto Insurance B,Partial,2026-02-06,1375,Dental Insurance,19,4,8,3,43,107
80511,619,Brendan Zamora,(904)428-6353,wilkinstracy@example.org,58,Male,Married,4,Sandraview,Advertising art director,3,Accident,23,2,Health Insurance C,Partial,2026-06-24,3074,Vision Insurance,5,3,0,20,17,116
13827,524,Christopher Griffin,232-709-8111x5405,tcosta@example.org,49,Female,Married,1,Shanehaven,Phytotherapist,2,Accident,72,5,Health Insurance C,Full,2026-06-05,3172,Health Insurance,6,6,2,15,94,1
17757,150,Angela Young,(222)525-1840x86425,gregorypitts@example.org,21,Male,Single,1,West Marcusland,Town planner,1,Accident,64,0,Health Insurance C,Full,2025-06-09,4548,Hospital indemnity insurance,7,15,20,7,90,34
64332,708,Micheal Rogers,+1-423-857-2695x707,blacktaylor@example.com,50,Female,Married,3,North Peggyfurt,Medical illustrator,1,Natural Disaster,77,1,Auto Insurance B,Full,2025-12-15,2461,Accident Insurance,9,19,5,12,52,39
81291,932,Adrian Fletcher,001-444-606-0944x64056,bwhite@example.com,58,Female,Married,2,South Harry,"Buyer, retail",1,Accident,33,6,Auto Insurance B,Full,2026-01-06,4810,Hospital indemnity insurance,6,2,13,2,56,8
53273,633,Brendan Barber,523.223.2459x32779,dominguezelizabeth@example.net,23,Female,Married,0,Anthonyfurt,Pension scheme manager,3,Accident,79,3,Auto Insurance B,Full,2026-05-19,4452,Disability Insurance,2,8,18,5,36,87
29143,925,Andrew Simpson,881.870.1215,grahamwarren@example.org,64,Male,Single,5,Franklinborough,Aid worker,0,Accident,85,7,Life Insurance D,Partial,2025-09-21,3998,Disability Insurance,8,8,20,4,79,84
21748,717,Olivia Everett,+1-725-351-5793,snydersarah@example.com,34,Male,Married,4,Douglasberg,General practice doctor,1,Accident,4,2,Home Insurance A,Full,2025-09-10,2478,Dental Insurance,6,6,5,3,33,34
97039,368,Christina Griffin,+1-392-434-2527x2052,luke83@example.com,42,Male,Married,2,Port Kellychester,Magazine features editor,3,Natural Disaster,33,1,Life Insurance D,Partial,2024-11-21,1808,Accident Insurance,0,16,12,7,77,16
17294,969,Eric Myers,417.649.1872x9633,dbyrd@example.net,43,Male,Married,5,New Anthony,Broadcast presenter,3,Accident,51,6,Auto Insurance B,Full,2026-03-21,3479,Dental Insurance,15,2,13,7,20,113
84383,525,Mrs. Sally Blair,988.587.7982x1906,brandon89@example.com,29,Male,Married,2,Port Malikborough,Materials engineer,0,Natural Disaster,31,7,Home Insurance A,Full,2025-10-24,2412,Life Insurance,18,17,9,5,22,50
94762,183,Brittany Kennedy,+1-213-299-8896x82494,crystalpearson@example.org,41,Male,Married,5,West Michaelland,Dramatherapist,3,Accident,81,8,Life Insurance D,Partial,2024-10-30,4561,Critical illness Insurance,11,19,15,20,43,115
32524,697,Gabriella Smith,654.454.9985x182,vhuff@example.com,60,Male,Single,5,Taylorton,"Scientist, marine",2,Natural Disaster,27,0,Life Insurance D,Full,2025-07-17,1734,Critical illness Insurance,17,16,3,9,50,120
45069,656,Eduardo Thomas,+1-819-715-2704x196,allengutierrez@example.com,43,Male,Married,5,Sarafort,Print production planner,1,Accident,74,8,Life Insurance D,Partial,2025-01-07,1941,Dental Insurance,11,2,4,18,23,83
45115,740,Emily Dunn,+1-444-556-1760x78311,kimberlylivingston@example.com,31,Male,Married,2,South Michaelstad,Theatre manager,0,Theft,4,10,Health Insurance C,Partial,2026-04-22,2766,Disability Insurance,1,11,15,4,113,104
74692,177,Diana Garcia,365.477.3122,marcus87@example.com,20,Female,Married,2,Suzanneview,Retail buyer,0,Natural Disaster,75,8,Home Insurance A,Full,2024-12-03,3253,Hospital indemnity insurance,15,14,15,2,120,44
90976,390,Pamela Camacho,883.666.3919x9196,courtney26@example.com,61,Male,Married,5,Sarahaven,"Accountant, chartered certified",1,Theft,66,6,Home Insurance A,Partial,2025-10-17,4189,Dental Insurance,12,16,20,9,26,78
12922,672,Christine Ortiz DVM,589.252.2998,carriediaz@example.net,53,Female,Single,1,Lake Barbara,Technical brewer,0,Theft,62,4,Life Insurance D,Full,2024-07-17,3590,Health Insurance,18,7,6,4,8,20
74243,284,Cathy Martin,001-314-221-6257x0713,william59@example.com,53,Male,Single,4,South Emilystad,Research scientist (physical sciences),1,Natural Disaster,37,6,Auto Insurance B,Partial,2024-08-11,2448,Hospital indemnity insurance,6,2,2,1,118,52
85087,420,Sara Mclean,8748702351,jcooper@example.org,62,Female,Single,3,South David,"Engineer, control and instrumentation",0,Accident,74,4,Life Insurance D,Partial,2026-05-29,4318,Critical illness Insurance,16,18,9,0,50,60
30109,513,George Shields,(524)425-8560,jmiller@example.org,30,Female,Single,2,Arthurburgh,Product manager,1,Natural Disaster,6,6,Home Insurance A,Full,2025-06-23,4055,Critical illness Insurance,12,15,9,6,113,41
33312,288,Kimberly Long,+1-412-452-3306x977,heidianderson@example.org,46,Male,Married,3,Christianshire,Wellsite geologist,2,Theft,35,6,Home Insurance A,Full,2026-03-03,4682,Vision Insurance,5,13,7,11,99,66
25011,433,Sandra Hamilton,+1-795-434-5096x2362,nnash@example.net,20,Female,Single,3,Matthewbury,"Engineer, land",2,Accident,38,10,Auto Insurance B,Full,2026-04-23,3381,Dental Insurance,16,15,13,5,55,18
96620,250,Annette Woods,+1-616-512-7245,sanchezkatherine@example.net,63,Male,Married,3,Theresaberg,"Radiographer, diagnostic",0,Natural Disaster,99,1,Home Insurance A,Partial,2025-06-14,3557,Health Insurance,0,7,6,1,44,52
90235,302,Angelica Mcneil,001-797-462-4119,smithkristine@example.com,25,Female,Married,4,Brendaview,Psychiatric nurse,1,Natural Disaster,41,2,Health Insurance C,Partial,2025-03-24,1300,Dental Insurance,14,3,18,9,51,70
21679,886,Elizabeth Miranda,464-665-0418,amandajohnson@example.com,64,Female,Married,2,West Patrickmouth,Gaffer,0,Theft,18,1,Auto Insurance B,Full,2026-04-04,3836,Life Insurance,12,9,10,3,59,38
48418,622,Rebecca Smith,(375)831-7368x71039,emartin@example.net,64,Female,Married,0,Lake Rebeccahaven,"Sales professional, IT",3,Accident,84,10,Auto Insurance B,Full,2025-02-10,3761,Vision Insurance,20,1,11,3,89,39
99796,335,Stacy Morales,001-212-211-5823x257,cholland@example.net,23,Male,Married,3,Debrastad,Civil Service administrator,1,Theft,40,3,Life Insurance D,Partial,2025-10-01,2139,Accident Insurance,10,13,14,4,40,79
41932,299,Jennifer Solomon,225-476-7431x3773,brittany66@example.com,18,Female,Married,5,New Susanview,"Engineer, automotive",0,Natural Disaster,50,0,Life Insurance D,Full,2024-07-23,4578,Hospital indemnity insurance,3,6,3,17,52,7
36405,967,Michael Thompson,+1-440-980-8978x843,sean97@example.com,23,Male,Married,1,New Savannahtown,"Surveyor, insurance",0,Natural Disaster,36,7,Health Insurance C,Full,2024-08-03,3802,Health Insurance,4,1,6,20,3,113
11758,451,Kimberly Shields,+1-546-393-9799x7759,oross@example.com,67,Male,Married,5,Lake Jared,Meteorologist,3,Theft,16,8,Life Insurance D,Full,2025-08-17,3371,Vision Insurance,19,16,20,3,17,57
56685,853,Charles Jacobson,385.823.4475x527,eddie90@example.net,24,Male,Single,0,Erinchester,"Surveyor, rural practice",1,Theft,38,8,Life Insurance D,Full,2025-09-07,2028,Accident Insurance,4,0,10,1,80,56
61197,408,Joseph Mcdaniel,+1-244-848-4783x06459,usmith@example.org,55,Male,Married,2,Nicoleburgh,Passenger transport manager,2,Theft,26,2,Home Insurance A,Partial,2025-05-09,4525,Disability Insurance,20,9,12,12,96,7
82844,292,Suzanne White,(245)226-3236x2551,pmack@example.org,42,Male,Single,1,North Christopherfurt,Physiological scientist,3,Accident,41,5,Health Insurance C,Full,2026-06-26,3399,Dental Insurance,18,1,12,9,47,10
40771,121,Ashley Evans,457-569-6452,tammy88@example.org,31,Female,Married,4,Karenstad,"Civil engineer, contracting",3,Theft,17,6,Home Insurance A,Full,2026-03-16,3887,Health Insurance,7,16,5,1,14,43
81483,239,Jesus Mendoza,001-836-587-1304x0277,jonathangarrison@example.org,18,Female,Single,2,Lake Kathy,Veterinary surgeon,1,Natural Disaster,60,10,Auto Insurance B,Full,2026-06-20,1631,Critical illness Insurance,1,0,18,18,36,22
90848,287,Timothy Clark,379-575-4632x79874,kelsey32@example.net,28,Male,Single,3,East Rebecca,Glass blower/designer,2,Accident,51,0,Life Insurance D,Partial,2025-12-20,2393,Life Insurance,11,10,8,4,91,26
11562,369,Jerry Montoya,+1-670-539-8525,meghanpayne@example.org,48,Female,Single,4,Mcmahonshire,Phytotherapist,2,Accident,55,2,Health Insurance C,Partial,2025-02-05,2621,Vision Insurance,15,19,7,11,117,8
89538,886,Lauren Ruiz,001-657-333-8406x7479,whickman@example.com,20,Male,Married,1,Gonzalezbury,Recruitment consultant,0,Natural Disaster,25,10,Health Insurance C,Full,2025-09-26,4484,Accident Insurance,3,9,19,14,8,114
44430,312,Stephen Smith,(979)249-9657,mblack@example.org,57,Male,Single,5,West Matthewville,Leisure centre manager,0,Accident,70,9,Life Insurance D,Partial,2025-05-15,4061,Hospital indemnity insurance,16,16,15,3,120,119
32964,899,Jeremy Miller,771-750-2470x8036,espinozajoel@example.org,57,Male,Single,1,Sydneyberg,Hydrogeologist,3,Theft,60,1,Auto Insurance B,Partial,2026-04-08,1482,Hospital indemnity insurance,13,19,17,4,38,109
30127,859,Raven Richardson,+1-899-461-5694,ann41@example.net,69,Male,Married,5,Bakerchester,Insurance risk surveyor,3,Theft,2,6,Home Insurance A,Full,2026-03-19,1254,Critical illness Insurance,5,2,18,19,102,43
84614,988,Luke Clark,001-672-840-3911x737,hbutler@example.org,47,Female,Married,0,Sanchezborough,Clinical research associate,2,Natural Disaster,47,5,Auto Insurance B,Partial,2025-12-17,1882,Hospital indemnity insurance,15,4,1,8,42,90
57625,282,Stephanie Nielsen,(720)981-9988x21703,mcclaintimothy@example.net,57,Female,Married,4,New Kimberly,Chartered legal executive (England and Wales),0,Natural Disaster,96,1,Home Insurance A,Full,2026-06-16,4661,Disability Insurance,3,1,0,7,109,119
66099,430,Judy Moore,+1-363-738-5590x7177,randyjohnson@example.com,49,Female,Single,1,Gomezstad,Tour manager,2,Natural Disaster,21,6,Auto Insurance B,Full,2024-11-29,3739,Accident Insurance,7,7,16,11,50,99
60122,783,Diane Boyd,(472)608-9622x4388,raymond34@example.org,67,Female,Married,5,Reedshire,Control and instrumentation engineer,2,Natural Disaster,64,1,Health Insurance C,Partial,2025-12-15,4209,Hospital indemnity insurance,9,18,12,3,10,91
89378,627,William Harrison DDS,783.436.3196x181,chaneymichaela@example.net,62,Female,Married,0,North Jeremyland,"Therapist, drama",0,Theft,55,2,Auto Insurance B,Partial,2025-10-19,4327,Health Insurance,15,4,9,11,39,49
71919,268,Tammy Little,+1-307-681-4094x3074,amygarcia@example.net,62,Male,Single,1,New Katherinefort,"Engineer, electronics",3,Natural Disaster,31,0,Auto Insurance B,Full,2026-06-24,4789,Life Insurance,11,14,7,13,54,83
78490,273,Lawrence Smith,581-639-9866,fitzgeraldcharles@example.net,31,Female,Married,2,East Brandychester,Communications engineer,2,Theft,61,0,Home Insurance A,Full,2025-10-14,2885,Critical illness Insurance,8,11,18,12,97,17
59263,848,Megan Baker,785.669.5363,kfernandez@example.org,50,Male,Married,5,Lake Keithchester,"Engineer, agricultural",0,Natural Disaster,50,6,Auto Insurance B,Full,2025-12-21,1148,Dental Insurance,12,1,20,18,110,94
30721,787,Kelly Woods,001-397-487-3268,millerlisa@example.com,51,Female,Married,5,West Bethany,Ship broker,1,Theft,96,3,Life Insurance D,Full,2024-12-18,4803,Life Insurance,17,14,17,6,50,74
12231,260,Dan Griffin,(778)423-1579x5647,richard98@example.net,70,Male,Single,1,North Pamela,Hospital doctor,0,Natural Disaster,59,3,Auto Insurance B,Full,2026-05-09,1371,Life Insurance,2,1,15,8,33,60
66979,827,Chelsea Wilson,001-906-332-5253x6704,qdominguez@example.com,59,Female,Single,3,Franciscochester,Customer service manager,2,Theft,92,6,Health Insurance C,Partial,2026-02-03,3256,Dental Insurance,15,10,4,18,84,21
41939,296,Jason Wilson,5153083371,annacampos@example.com,40,Male,Single,4,South Spencer,Quarry manager,0,Theft,51,1,Home Insurance A,Full,2025-01-24,2405,Life Insurance,15,10,6,16,60,30
21465,992,Jerry Lynn,345-301-5480,robert94@example.org,54,Female,Married,4,Hallmouth,"Journalist, newspaper",0,Natural Disaster,58,8,Auto Insurance B,Partial,2026-06-12,1697,Critical illness Insurance,11,4,11,3,2,95
31005,146,Evan Martinez,(740)755-7951,kerry62@example.org,23,Female,Single,2,Brianstad,Airline pilot,3,Accident,78,7,Home Insurance A,Full,2025-12-16,4842,Dental Insurance,12,2,20,13,99,120
31035,109,Shelly Jackson,208-593-8813,markcabrera@example.org,45,Female,Single,3,Taylortown,"Solicitor, Scotland",3,Accident,53,7,Life Insurance D,Full,2025-04-18,4972,Dental Insurance,5,12,17,17,31,51
82100,715,Jeremy Jensen,(364)580-3695x001,edelacruz@example.org,44,Female,Single,4,Cindymouth,"Accountant, chartered management",0,Accident,76,0,Health Insurance C,Partial,2025-03-26,4662,Dental Insurance,8,12,0,19,77,46
91215,974,Christine Carrillo,673-858-9122,bbailey@example.com,60,Female,Married,3,Lake Bethany,Information officer,1,Theft,67,8,Life Insurance D,Partial,2025-09-01,2766,Disability Insurance,15,10,20,14,47,29
74242,503,Peter White,306.490.6153,iprice@example.com,67,Male,Married,5,Jermaineport,Information officer,1,Accident,62,6,Home Insurance A,Full,2025-07-31,3320,Dental Insurance,7,17,4,8,29,49
43019,501,Rachel Fernandez,+1-858-890-3197x0277,jhoffman@example.com,38,Male,Married,3,Lake Sharonborough,Contractor,1,Accident,33,6,Home Insurance A,Partial,2025-08-23,1885,Critical illness Insurance,5,4,13,20,20,98
65526,651,David Fox,843.969.9849,hwells@example.org,67,Female,Married,2,New Victor,Retail manager,1,Accident,17,10,Health Insurance C,Partial,2024-11-09,4131,Dental Insurance,11,8,3,15,92,28
50404,390,Courtney Dillon,001-417-335-8997,joshua39@example.net,37,Female,Married,0,Arroyoland,Health visitor,3,Theft,40,2,Life Insurance D,Partial,2025-07-25,3048,Vision Insurance,3,13,17,13,109,75
37668,418,Richard Johnson,(820)984-5656,valeriehodge@example.net,56,Male,Married,0,Port Kathrynland,Archaeologist,2,Natural Disaster,62,5,Home Insurance A,Partial,2026-03-02,3955,Vision Insurance,15,12,14,16,6,28
17565,148,Ricky Jones,312.832.5780x850,marktaylor@example.com,26,Male,Single,2,West Anna,"Lecturer, further education",1,Natural Disaster,33,10,Life Insurance D,Full,2026-04-24,3490,Accident Insurance,12,19,5,15,92,120
82325,479,Glenn Petersen,845.213.9219,peter05@example.net,26,Male,Single,5,Codystad,Records manager,2,Natural Disaster,30,2,Health Insurance C,Full,2024-08-17,4263,Dental Insurance,15,10,19,5,111,108
51417,570,Julie Roman,(465)861-0801,ntodd@example.com,36,Male,Single,2,Martinside,"Psychologist, prison and probation services",3,Accident,25,10,Home Insurance A,Partial,2024-07-16,4045,Disability Insurance,1,17,15,17,81,61
99247,306,Judy Christian,+1-935-569-2814x767,wharding@example.org,59,Female,Single,2,West Michaelborough,Environmental education officer,2,Theft,5,9,Life Insurance D,Partial,2026-06-25,2174,Health Insurance,16,12,14,4,75,104
81516,912,Susan Mitchell,219-355-0093x0800,jimeneztyler@example.org,58,Male,Single,2,Gonzalezfort,Government social research officer,3,Accident,48,0,Life Insurance D,Partial,2025-09-22,3382,Critical illness Insurance,18,0,20,16,44,76
66813,771,Caitlin Mckinney,001-809-379-2158x1906,travismyers@example.com,52,Male,Single,0,North Vanessachester,Travel agency manager,2,Theft,12,4,Life Insurance D,Partial,2026-01-20,1525,Life Insurance,12,6,7,6,113,110
73302,554,Sarah Wells,+1-273-740-3048x492,dana99@example.org,33,Female,Single,0,New Katieport,Health service manager,0,Theft,90,7,Auto Insurance B,Partial,2026-05-02,3507,Accident Insurance,17,14,16,4,39,58
69191,212,Nicholas Thornton,001-225-904-9208,zbarnes@example.net,26,Male,Single,1,Port Tiffany,Pathologist,3,Theft,65,4,Health Insurance C,Partial,2025-06-11,2662,Hospital indemnity insurance,5,4,20,1,78,49
18425,507,Amber Huff,890.874.2579,natasha51@example.net,55,Female,Single,0,Michaelview,Electrical engineer,2,Natural Disaster,40,4,Auto Insurance B,Full,2026-06-08,1712,Disability Insurance,11,8,9,5,14,74
27497,482,Teresa Haynes,643-537-5960,adam51@example.net,18,Female,Married,0,Contrerasside,"Education officer, museum",3,Natural Disaster,47,5,Home Insurance A,Full,2025-05-12,2397,Dental Insurance,17,0,11,1,110,3
29689,690,David Green,9845573741,michaelsmith@example.org,68,Female,Single,1,Cookview,Health promotion specialist,0,Accident,6,10,Auto Insurance B,Partial,2025-05-12,2240,Health Insurance,3,13,13,0,105,15
38378,823,Alan Calderon,821-409-4149x70242,katherineschultz@example.org,45,Male,Married,4,New Crystalland,"Designer, blown glass/stained glass",0,Natural Disaster,11,10,Auto Insurance B,Full,2025-06-18,1732,Critical illness Insurance,13,17,2,19,29,73
92424,836,Dwayne Jones,(417)908-1789,amyramirez@example.net,34,Female,Married,5,Robertmouth,Applications developer,3,Accident,24,5,Health Insurance C,Partial,2026-04-21,3874,Health Insurance,18,15,15,4,46,85
79301,334,William Powell,(857)505-1362,tommcguire@example.org,69,Female,Single,4,East Crystal,Illustrator,0,Natural Disaster,19,0,Home Insurance A,Full,2026-04-19,4804,Vision Insurance,11,5,19,20,107,66
10191,188,Kelly Short,786-969-8665,nicole51@example.org,64,Female,Married,5,Cortezchester,"Administrator, education",1,Theft,70,7,Life Insurance D,Full,2025-11-08,4935,Dental Insurance,4,8,15,8,50,37
54156,295,Dana Green MD,735.707.9513x19271,seansims@example.org,52,Female,Married,3,Christopherton,Animal technologist,3,Accident,9,8,Life Insurance D,Full,2025-03-20,2481,Accident Insurance,15,3,14,20,115,117
15266,227,Lisa Martinez,466-211-2800,jesusherrera@example.com,48,Male,Married,0,Thomasside,Physiotherapist,1,Theft,85,0,Auto Insurance B,Partial,2026-02-17,1645,Disability Insurance,3,4,3,4,41,10
96306,347,Eddie Stewart,(349)589-5876,ichung@example.net,70,Female,Married,1,West Claudia,Minerals surveyor,3,Theft,36,7,Auto Insurance B,Full,2025-06-07,4124,Disability Insurance,3,17,8,9,32,99
51141,663,Thomas Adams,235-512-5626x13317,lauren75@example.com,60,Female,Married,2,Lake Corey,Petroleum engineer,1,Theft,60,0,Home Insurance A,Full,2025-11-17,1506,Hospital indemnity insurance,1,1,13,15,13,117
78539,372,Jeff Owens,792-937-5801,alejandrachavez@example.com,65,Male,Single,3,Lake Melissafurt,Clinical cytogeneticist,0,Accident,0,6,Home Insurance A,Partial,2025-03-09,3663,Health Insurance,9,7,17,15,107,53
40292,583,Melinda Norris,+1-361-925-8734,dperez@example.org,58,Male,Married,0,Clarkview,Hospital pharmacist,2,Natural Disaster,1,2,Home Insurance A,Full,2025-05-24,3166,Hospital indemnity insurance,10,19,20,19,10,24
66731,232,Cassandra Carter,729-499-8704,tbyrd@example.net,52,Male,Married,4,Mariaberg,Office manager,1,Natural Disaster,18,5,Life Insurance D,Partial,2024-12-06,4264,Life Insurance,9,2,7,20,81,86
77232,696,Rachel Morris,228-372-9196x4876,abigail45@example.org,36,Male,Married,2,New Anna,Systems developer,0,Natural Disaster,49,6,Health Insurance C,Partial,2026-01-21,2110,Life Insurance,3,8,1,6,8,105
86020,756,Kathryn Jackson,7829136590,perkinscesar@example.com,34,Female,Single,1,Leonview,Regulatory affairs officer,3,Natural Disaster,10,6,Life Insurance D,Partial,2024-08-05,4617,Accident Insurance,2,10,6,18,88,105
28551,831,Amanda Rivers,+1-926-604-7437,williamhurley@example.org,18,Female,Single,1,Henrytown,Insurance broker,3,Accident,98,7,Home Insurance A,Partial,2025-01-18,1814,Health Insurance,14,12,9,20,73,35
73762,213,Tina Jackson,001-759-367-6936,ejenkins@example.org,27,Female,Married,0,North Amanda,Archivist,2,Accident,31,2,Health Insurance C,Full,2024-07-19,2973,Vision Insurance,4,0,5,13,40,101
61378,200,Renee Brown,001-645-336-3342,tatejerry@example.org,46,Female,Married,2,Jamesview,"Designer, blown glass/stained glass",2,Natural Disaster,37,3,Auto Insurance B,Full,2024-11-06,4522,Hospital indemnity insurance,0,11,16,19,46,108
63367,491,Gary French,001-863-515-8482x011,jonathanstevens@example.org,45,Female,Married,5,South Benjaminbury,Public affairs consultant,3,Theft,19,7,Auto Insurance B,Partial,2025-12-31,3176,Accident Insurance,9,18,4,15,82,97
53116,114,Angela Carter,001-816-630-7821x28953,morabryan@example.net,68,Male,Married,5,Jeffreyburgh,Commissioning editor,3,Accident,52,6,Health Insurance C,Partial,2026-02-13,2646,Vision Insurance,20,18,1,10,57,5
68641,507,Brian Jackson,960.826.2571x4293,billmiller@example.com,61,Female,Married,2,Cooperville,"Education officer, environmental",3,Natural Disaster,56,9,Home Insurance A,Full,2025-03-08,1722,Accident Insurance,15,18,3,18,48,108
44734,136,Tammy Smith,(424)423-8854x7361,anthony44@example.com,61,Male,Married,2,South Morgan,Herpetologist,2,Natural Disaster,83,7,Home Insurance A,Partial,2025-01-30,2031,Disability Insurance,9,5,14,8,89,17
56454,954,Michelle Reyes,422.606.8021,cameronjuan@example.org,40,Female,Single,0,Jonestown,"Conservator, museum/gallery",2,Natural Disaster,56,5,Auto Insurance B,Full,2024-10-20,3485,Accident Insurance,8,12,19,13,48,53
27564,100,Brittany Osborne,584.933.4577x8066,amy32@example.org,26,Female,Married,2,Walterside,"Buyer, retail",0,Accident,40,9,Health Insurance C,Full,2026-01-13,2244,Health Insurance,7,9,2,5,77,116
14936,473,Joshua Burns,356.941.0004x2271,gabrieldawson@example.net,55,Female,Married,3,Rodriguezland,Primary school teacher,0,Natural Disaster,85,6,Health Insurance C,Partial,2024-09-23,4666,Accident Insurance,6,3,5,0,14,6
49516,614,Mr. David Dawson DVM,453.335.7832,mary35@example.org,68,Male,Single,0,Port Nicholas,Actuary,2,Theft,90,2,Home Insurance A,Full,2024-10-11,3424,Disability Insurance,15,12,11,4,26,3
59082,663,Dr. Carol Hanson DVM,+1-756-254-1277x027,oshaw@example.com,52,Female,Married,1,South Garyside,"Scientist, research (physical sciences)",1,Theft,94,2,Life Insurance D,Partial,2024-08-21,3380,Critical illness Insurance,9,11,5,19,43,24
82958,284,Michele Ortiz,(664)832-4467x8722,wbrown@example.com,60,Male,Married,4,Port Yvonne,Education administrator,2,Theft,40,0,Auto Insurance B,Partial,2025-01-01,2428,Disability Insurance,9,11,4,16,53,89
