Policy Number,Customer ID,Customer Name,Mobile Number,Email Id,Age,Gender,Marital Status,Dependents,Location,Occupation,Claims (3yrs),Claim Type,Online Activity,Service Calls,Current Insurance,Coverage,Premium (3yrs),Fraud
11877,771,Fred Ramos,+1-762-270-5032x171,osmith@example.org,45,Male,Single,4,West Lynnfurt,Electronics engineer,0,Health,Yes,4,No,Partial,3827,0
34345,581,Nathaniel Rojas,+1-278-350-5606x47592,novakkaren@example.net,30,Female,Single,2,South Danielle,Meteorologist,0,Health,Yes,0,No,Partial,2589,0
37850,457,Shane Chavez,+1-228-967-8351x5982,denisebarnes@example.com,62,Male,Married,4,Garyton,"Administrator, Civil Service",0,Health,No,1,Yes,Partial,1946,1
61027,720,Stephen White,(996)666-1926,preyes@example.org,66,Male,Married,2,New Angela,"Engineer, structural",0,Health,Yes,1,Yes,Full,1079,1
48152,353,Dr. Lori Walker,396.969.6072x3924,ubarnes@example.net,70,Male,Married,0,West Alexandria,Copy,1,Auto,Yes,4,No,Partial,3730,1
50033,315,John Johnson,221-856-4428x0766,oparker@example.com,23,Male,Married,5,Lake Christopherstad,"Teacher, early years/pre",0,Auto,Yes,4,Yes,Partial,1788,1
76806,909,Adam Miller,804.726.1486,denisecarroll@example.net,51,Male,Single,5,Piercestad,Clinical research associate,3,Home,Yes,5,Yes,Full,2453,0
10818,680,Angela Cooper,398-743-3295x7199,phillipsgregory@example.com,51,Male,Married,4,Nicolefurt,Press sub,5,Health,No,1,Yes,Full,4702,1
11270,125,Angela Martinez,(631)955-3308x456,jamessalazar@example.org,41,Female,Single,4,Howardport,Cartographer,2,Health,No,1,Yes,Full,4739,1
29862,155,Tanner Cooper,(880)209-8000x66729,brian72@example.net,45,Female,Single,3,Gonzalezfurt,Retail buyer,4,Home,Yes,4,Yes,Partial,1764,1
25478,226,Angela Cook,001-997-906-8933,jeffrey69@example.net,34,Female,Single,4,Parkland,"Surveyor, insurance",2,Health,Yes,4,No,Partial,3335,1
16038,726,Ashley Moore,981-404-4182,jason72@example.com,69,Male,Married,5,West Patrickmouth,Art gallery manager,4,Auto,No,0,No,Partial,4147,0
81441,794,Amanda Kelly,+1-953-411-3512,dominiquewilson@example.org,45,Female,Single,4,Port Susanfort,"Designer, graphic",5,Home,Yes,5,Yes,Full,2519,1
33866,736,Jennifer Graham,249-984-7337x87914,amanda31@example.org,39,Male,Single,3,Port Michaelburgh,Firefighter,5,Health,No,1,No,Full,3186,1
13679,755,Donald Mccullough,(500)767-1478x0251,yrios@example.com,66,Female,Married,2,Hannaland,International aid/development worker,4,Auto,No,0,Yes,Partial,3062,1
47291,926,Cynthia Lowe,388.875.7229x857,katiemorris@example.net,43,Female,Single,1,Port Brendabury,Chartered certified accountant,3,Auto,No,3,No,Partial,2347,1
77883,453,Allison Parker,001-285-350-9410x7606,angela52@example.org,53,Male,Married,5,New Kristenchester,Recycling officer,5,Home,No,4,Yes,Full,4638,0
14025,273,Tyler Castro,925-487-2482x31800,ryan49@example.com,68,Female,Single,2,East Jeremy,Air broker,3,Health,Yes,5,Yes,Partial,3253,0
55250,908,Richard Ritter,+1-516-384-0988x4625,mullinsteresa@example.net,53,Female,Married,1,Port Shannonville,Fisheries officer,3,Auto,Yes,3,Yes,Partial,2807,1
57156,917,Jamie Kim,(918)680-5173x48237,alfredperez@example.org,34,Male,Married,3,West William,Lexicographer,4,Auto,No,4,No,Full,1887,1
35944,377,Linda Rodriguez,677.692.9775x2590,davidmeyer@example.net,25,Female,Single,1,Leslieville,Special educational needs teacher,1,Health,Yes,2,Yes,Full,3858,1
30839,867,Connor Williams,(655)816-6383,gowens@example.org,42,Male,Single,0,Camposport,Translator,1,Auto,Yes,2,No,Full,3844,1
48104,149,Brandon Foster,(889)532-3831,heatherdudley@example.org,23,Male,Single,3,Port Moniqueside,Radio producer,2,Home,Yes,0,Yes,Full,2535,0
33891,130,Michael Waller,(428)763-3020,iedwards@example.com,31,Male,Married,2,Kevinmouth,"Geneticist, molecular",3,Home,No,3,No,Full,3535,1
36074,103,Ryan Turner,001-740-913-0166,mhopkins@example.net,55,Female,Married,2,West Joshuaside,Graphic designer,5,Auto,Yes,3,Yes,Full,1022,1
36696,627,Deanna Mendoza,+1-650-508-9967x53905,caingregory@example.net,21,Female,Married,2,Adrianamouth,Ecologist,2,Home,Yes,2,Yes,Partial,1327,1
42605,434,Virginia Caldwell,+1-339-452-9095x24430,ylutz@example.com,25,Female,Married,3,Huangburgh,Petroleum engineer,0,Auto,No,5,No,Full,1592,0
27914,295,Gina Peterson,732.389.8980,melissa77@example.com,64,Male,Married,3,Bakerland,Financial trader,5,Health,No,2,Yes,Full,3256,0
39697,964,Norma Garcia,001-480-956-9522x157,colincopeland@example.com,58,Female,Single,1,Vasquezberg,Plant breeder/geneticist,5,Auto,Yes,3,No,Full,4633,0
47159,746,Hannah Schroeder,3573096996,cartersarah@example.net,20,Female,Married,0,North Jorge,"Engineer, structural",2,Health,No,4,Yes,Full,4467,0
66077,363,Patrick Shannon,875-699-8095x2287,umiller@example.net,42,Male,Single,5,Heatherfort,Agricultural consultant,3,Home,Yes,4,Yes,Full,3276,0
83925,296,Sarah Smith,+1-439-453-0866x79718,tonikim@example.org,64,Female,Single,2,Jenniferfort,Leisure centre manager,5,Auto,No,1,Yes,Partial,1976,0
17295,615,Wendy Cole,808.998.8318x32437,valeriemendoza@example.org,47,Female,Single,0,Annemouth,Counsellor,3,Home,Yes,0,Yes,Full,4008,0
15282,378,Kelli Rodriguez,(640)715-8910x685,phillip91@example.com,53,Female,Single,1,West Jimmy,Health and safety adviser,3,Auto,Yes,5,No,Full,2826,0
96317,856,Adam Garner,(894)555-8675,jasonrosales@example.org,25,Male,Married,0,Padillamouth,"Scientist, research (maths)",1,Auto,Yes,2,No,Partial,2386,0
80842,158,Kevin Griffin,+1-807-229-6215x498,javierporter@example.org,18,Female,Single,2,South Rose,"Engineer, broadcasting (operations)",2,Health,No,1,Yes,Full,4333,1
32099,541,Brian Zimmerman,+1-475-580-2758x382,zjenkins@example.org,55,Female,Married,4,Lake Jennifer,Systems developer,1,Auto,Yes,0,Yes,Partial,3989,0
72519,543,Shawna Robinson,853.546.9382x250,monica46@example.com,58,Male,Married,4,Johnchester,Hospital doctor,0,Home,No,5,No,Full,2501,0
25830,843,Pamela Alvarez,9787921208,elane@example.net,66,Male,Married,3,Ericport,Petroleum engineer,0,Health,No,2,Yes,Full,1753,1
27795,745,Kaylee Ross,232.308.3509,henrysmith@example.net,40,Male,Married,3,North Ashleyshire,Psychiatric nurse,0,Home,Yes,3,No,Full,4466,0
75736,473,Michelle Edwards,001-788-989-9221x3760,ejohnson@example.org,41,Female,Single,4,Port Melanieside,Airline pilot,1,Home,No,4,Yes,Partial,4556,0
43125,648,Cynthia Hammond,+1-305-872-0428x8313,jenniferduarte@example.org,39,Female,Single,4,Port Tyrone,Exercise physiologist,3,Health,No,0,Yes,Full,4128,1
10656,317,Patrick Jackson,+1-581-385-6250x789,moyerkiara@example.net,44,Female,Married,3,Shieldsburgh,Museum/gallery conservator,1,Auto,No,5,No,Partial,3765,1
51387,750,David Cunningham,288.544.9408x3147,williamrobinson@example.net,69,Male,Single,2,South Mariachester,"Engineer, building services",4,Health,No,1,Yes,Full,1819,1
88555,352,Lauren Clark,2218726003,john62@example.net,60,Female,Married,4,Mistyside,"Teacher, early years/pre",5,Auto,Yes,2,Yes,Partial,4662,1
94179,601,Christopher Noble,9628754630,thompsondorothy@example.com,48,Female,Single,5,New Jennifermouth,Health and safety adviser,0,Health,No,0,No,Full,1857,0
74219,544,Kristin Garcia,7477116167,mjohnson@example.com,67,Male,Married,4,Port Amandastad,Ophthalmologist,4,Auto,No,5,Yes,Partial,4647,1
94614,499,Jill Allen,001-654-665-4195x51417,gary97@example.org,49,Male,Married,3,Brandonberg,Educational psychologist,1,Health,No,1,No,Partial,2623,1
23856,552,Jennifer Velazquez,3029568162,patrick97@example.org,62,Female,Married,0,Frankshire,Advice worker,2,Health,No,2,No,Full,2105,1
42787,664,Robert Gomez,001-481-246-7895x35431,davenportmichele@example.org,30,Female,Married,1,Meganville,"Engineer, civil (consulting)",2,Home,No,3,No,Partial,2977,1
57898,304,Angela Lee,+1-475-726-6931x64280,jill69@example.com,34,Female,Married,1,South Steven,Freight forwarder,0,Auto,No,0,Yes,Partial,3790,1
14669,410,John Montoya,(682)959-1737x6732,davidlee@example.org,67,Male,Single,2,New Jerry,"Scientist, research (maths)",5,Auto,Yes,4,No,Partial,1663,1
35650,827,Steven Roach,001-810-903-1447x88696,robinsoncarla@example.net,62,Male,Married,5,West Johnberg,Medical technical officer,2,Home,No,4,Yes,Full,2400,1
73593,750,Nicole Blair,403-276-7300x991,grice@example.org,45,Female,Married,3,Sarahburgh,Public relations account executive,5,Home,Yes,2,Yes,Partial,3435,1
27464,396,Jacob Lambert,001-562-223-9222x3971,rebeccalopez@example.com,60,Male,Married,2,Bryantberg,Trade union research officer,0,Auto,No,5,Yes,Partial,4842,1
83598,110,Mrs. Sandra Wood MD,894-881-5459,johnbarrera@example.com,67,Female,Single,0,Sheliaberg,"Administrator, Civil Service",4,Health,Yes,2,Yes,Partial,4872,1
48088,608,Eric Mcdonald,(329)997-3558,ewatson@example.org,59,Male,Single,1,Robinborough,Community arts worker,0,Auto,Yes,5,Yes,Partial,1813,1
63830,372,Jessica Hopkins,+1-241-310-0532x2724,patrickthomas@example.net,26,Male,Married,2,Port Chad,"Scientist, water quality",0,Health,No,3,No,Full,3707,1
38592,343,Nathan Ward,(553)583-9207x5308,pguzman@example.net,18,Female,Married,3,Lake Francisco,Interpreter,4,Health,Yes,5,No,Partial,3314,0
82765,966,Larry Higgins,+1-533-222-3529,sparsons@example.net,66,Male,Married,4,Port Emilyshire,Air cabin crew,2,Home,Yes,2,No,Full,1876,0
34528,841,Lisa Davis,+1-453-843-7246x0699,sandra40@example.org,64,Male,Married,4,Paultown,Commercial art gallery manager,5,Home,Yes,3,No,Partial,2006,0
86048,148,Barbara Butler,228-243-0743x097,garias@example.net,49,Male,Married,2,West Davidport,"Engineer, communications",5,Auto,Yes,0,No,Partial,1598,1
94160,248,Cassandra Burke,001-473-246-4471x8704,olsonjennifer@example.org,56,Female,Married,3,South Sara,Occupational therapist,3,Health,No,2,Yes,Partial,3134,0
87533,455,Diane Walker,377.609.0715x3300,castillokimberly@example.com,45,Male,Single,2,New Daniel,Financial controller,0,Auto,No,2,Yes,Full,2585,0
13223,574,Ashley White,001-638-634-4363x5829,boydbrad@example.org,31,Female,Married,0,New Sarah,Publishing copy,4,Home,Yes,5,Yes,Full,2744,0
74308,667,Christian Ward,301.344.8748x7871,salinaspatty@example.net,41,Male,Married,2,East Ronald,"Editor, commissioning",4,Home,Yes,1,Yes,Full,1587,1
97457,605,Paul Dalton,+1-272-999-6193,fnelson@example.net,67,Female,Single,2,Sanchezland,Chartered legal executive (England and Wales),1,Home,No,5,Yes,Partial,2029,1
10809,378,Karen Brown,(407)499-6813x70899,staffordmelissa@example.net,69,Female,Married,3,Georgeberg,Consulting civil engineer,1,Auto,No,4,No,Full,1637,1
56775,293,Bradley Johnson,2925333280,bthompson@example.com,40,Male,Married,4,Port Heatherchester,Medical technical officer,5,Health,Yes,4,Yes,Partial,2947,0
60414,683,George Smith,+1-654-931-9343x88017,gordonjennifer@example.org,24,Male,Married,4,Yatesmouth,Economist,4,Health,Yes,3,Yes,Partial,3615,1
10582,579,Jimmy Perkins,+1-404-615-1721x6714,troy27@example.net,64,Male,Single,0,Staffordburgh,"Psychologist, sport and exercise",1,Auto,No,1,No,Full,4303,1
17736,500,Jennifer Pitts,001-594-896-9159,hunter10@example.com,27,Male,Married,1,Wongchester,"Accountant, chartered management",0,Auto,No,0,No,Partial,3993,0
78928,796,Corey Travis,001-575-799-0595x65806,gsmith@example.com,36,Male,Single,0,Benjaminbury,Diagnostic radiographer,2,Health,Yes,0,Yes,Partial,1922,1
26471,134,Robert Potts,653.536.1029,wleonard@example.org,18,Male,Married,4,Jonesfurt,IT technical support officer,3,Home,Yes,0,Yes,Full,2343,1
43771,547,Vanessa Reyes,001-214-775-7213x0126,robbinsrachel@example.org,40,Female,Single,5,West Eric,"Conservation officer, nature",1,Home,Yes,5,No,Partial,1304,1
21106,115,Katie Bruce,(687)684-3535,ashleysnyder@example.com,28,Female,Married,4,New Susan,Science writer,3,Auto,No,4,No,Partial,4391,0
88506,372,Molly Roberts,397.864.1663,ericbarber@example.org,44,Female,Married,4,Aliside,"Conservation officer, historic buildings",4,Home,Yes,3,Yes,Partial,3244,0
71690,358,Brian Villanueva,(244)956-7584x8736,carlos01@example.org,21,Female,Single,2,New Charles,Land,2,Auto,Yes,0,Yes,Full,2723,1
38266,986,Mark Rodriguez,3129437716,xlee@example.com,42,Female,Married,1,Lake Kelli,"Buyer, retail",0,Auto,No,2,Yes,Full,2945,0
14058,134,Rebecca Delgado,6947342764,ambersullivan@example.com,62,Female,Single,2,East Joshua,Product manager,4,Home,Yes,3,Yes,Full,4131,1
20614,673,Larry Payne,(347)423-8225x173,richardsonedward@example.net,19,Male,Married,3,New Ryanstad,Proofreader,4,Health,Yes,5,Yes,Full,2473,0
62836,744,Sharon Guzman,3054159847,yayala@example.org,55,Male,Single,5,Hansenland,Careers adviser,3,Home,Yes,0,No,Full,3552,1
53210,496,George Ward,671.807.0345,ghayes@example.org,62,Female,Single,0,Port Kristenshire,Education administrator,3,Home,Yes,2,No,Full,4498,1
15624,729,Susan Pierce,(476)455-5118x6016,romanashley@example.net,36,Female,Married,3,Griffinfurt,Music tutor,3,Auto,No,0,No,Partial,3740,0
60564,462,Sydney Blankenship,918-783-9216x34528,ashley65@example.com,45,Female,Single,1,Sabrinamouth,Adult nurse,5,Auto,No,0,No,Full,3434,1
76885,689,Ronald Watson,(440)799-6721,andre29@example.net,32,Male,Married,3,Riosmouth,Orthoptist,3,Health,No,5,No,Full,3427,0
96818,460,Connor Wilcox,001-252-253-0362x422,markross@example.org,33,Male,Single,3,Tiffanyport,"Therapist, horticultural",4,Home,No,4,No,Full,4840,0
70917,854,Sherry Wagner,918-348-0580,ambercruz@example.org,33,Female,Single,2,Jennaborough,Acupuncturist,2,Auto,No,2,No,Full,2018,1
25968,569,Kelly Clark,(584)244-5188x104,escott@example.org,29,Female,Single,2,North Jennifer,Futures trader,1,Health,No,2,Yes,Partial,4091,1
11305,173,Michelle Hunt,4295640005,cluna@example.org,70,Female,Married,2,Larsonshire,Television production assistant,5,Home,Yes,5,Yes,Full,4912,1
95379,348,Bradley Hudson,770.690.9801,fwebb@example.net,70,Male,Married,2,Nancystad,Drilling engineer,3,Auto,No,4,Yes,Partial,4956,0
68231,489,Mark Morris,710-249-6309x48875,chelseyjordan@example.org,39,Male,Single,0,East Timothymouth,Print production planner,0,Auto,No,0,Yes,Partial,4459,1
70320,448,Christina White,792-322-6305x092,kimstokes@example.com,67,Male,Married,3,Coreytown,Interior and spatial designer,0,Health,No,3,No,Partial,1961,1
70343,988,Jodi Hodges,001-702-771-3725,dorothy31@example.org,22,Male,Single,2,Port Brittanytown,"Psychotherapist, dance movement",1,Auto,No,1,No,Partial,2489,1
82469,345,Ashley Alexander,460-782-6877x10775,elizabethchang@example.org,49,Male,Married,4,East Kevin,Field seismologist,5,Home,Yes,0,Yes,Partial,1729,1
78494,122,Stacey Wheeler,679.277.1360,carolyn40@example.org,48,Female,Single,5,Ericahaven,"Development worker, international aid",2,Home,No,3,No,Full,3592,0
69743,674,Katie Holt,+1-745-469-4655x80193,paula95@example.com,29,Female,Single,3,New Brookeshire,Economist,0,Auto,No,3,No,Full,1359,0
15228,829,Amanda Chan,001-988-819-4632,armstrongjoseph@example.com,54,Female,Single,4,Ramirezville,"Horticulturist, commercial",5,Auto,No,1,Yes,Partial,4305,0
14697,491,Timothy Campbell,8014764596,christina56@example.org,25,Female,Single,3,North Amandaville,Fashion designer,5,Health,Yes,3,No,Full,3293,1
63222,643,Meagan Parker,460.418.6500x660,kevinhayes@example.net,32,Female,Single,4,Millerview,Camera operator,2,Health,Yes,4,Yes,Partial,2885,1
58345,723,Alexandria Love,+1-507-479-5264x437,msmith@example.net,50,Female,Married,5,Amberland,Medical secretary,5,Auto,Yes,0,Yes,Full,1564,1
83965,225,Nathan Patterson,851.612.2215x438,laura77@example.org,42,Male,Married,2,Kathrynport,Sub,2,Auto,Yes,3,Yes,Full,1842,1
81999,907,Tyler Martinez,(638)419-8858,mrobinson@example.org,67,Male,Married,3,Cuevasfurt,Education administrator,3,Auto,No,2,Yes,Partial,2020,1
23266,398,Amy Howell,001-632-898-1369x99885,webbrobert@example.com,29,Female,Single,5,Watsonshire,Engineering geologist,1,Auto,Yes,0,No,Partial,1543,1
15962,952,Bryan Jones,670-701-9854,jenniferoconnor@example.com,61,Female,Married,1,North David,Building control surveyor,5,Home,No,0,Yes,Full,1706,0
92560,660,Sarah Robinson,+1-257-260-6956x1935,gerald35@example.com,67,Female,Single,0,Heatherhaven,"Exhibitions officer, museum/gallery",4,Auto,Yes,3,No,Full,4000,1
53225,944,Denise Miller,+1-560-833-7692,baileyshawn@example.org,64,Male,Married,3,North Ethan,"Engineer, petroleum",1,Auto,No,1,Yes,Partial,4457,1
51431,647,Mary Robinson,6282461079,baileyjoseph@example.com,20,Female,Married,2,Nashmouth,Volunteer coordinator,2,Auto,Yes,2,Yes,Full,1596,0
99869,102,James Walter,001-338-336-2731x999,maryrojas@example.com,55,Female,Married,4,East Janice,"Engineer, building services",5,Auto,No,1,No,Partial,2825,1
10047,309,Dr. Scott Jones,(560)345-0415,randy16@example.com,34,Male,Single,3,Brianstad,Occupational hygienist,5,Health,No,5,Yes,Full,2857,1
57926,173,Sergio Jimenez,3313404209,charlesalan@example.net,33,Female,Married,4,Mooreview,Higher education lecturer,1,Health,Yes,2,Yes,Partial,4943,1
58500,596,Christina Morgan,336-457-2741,bradyalyssa@example.org,24,Female,Married,4,East Andrew,Fish farm manager,1,Health,No,2,No,Partial,2591,0
31288,148,Julie Williams,001-729-380-5371x295,vmalone@example.org,36,Female,Single,3,Reynoldsborough,Writer,1,Auto,No,5,No,Partial,2840,1
89928,893,Justin Gibson,2723740388,markdavis@example.org,18,Male,Married,1,Port Keith,Research scientist (maths),0,Health,Yes,1,Yes,Full,3086,1
57901,428,Steven Sanders,001-396-592-5107x0649,sanderson@example.com,54,Male,Married,0,Youngberg,Television floor manager,3,Home,Yes,4,No,Full,2426,0
29433,439,Stephen Herrera,(667)798-7818x6932,emmabullock@example.net,45,Male,Single,5,South Davidburgh,"Investment banker, operational",5,Auto,No,4,No,Partial,2747,1
87611,380,Amanda Bradley,(945)593-0806x7688,john01@example.org,54,Male,Single,0,East Kathryn,Media planner,5,Health,Yes,2,No,Full,2719,0
12049,453,Eric Turner,(601)274-3965,joannemccann@example.com,69,Male,Married,0,Carolynland,Arts administrator,1,Auto,No,0,No,Partial,4000,0
29177,210,Christina Snyder,771-766-6808x646,peterdalton@example.net,61,Male,Single,0,Lake Francisco,Psychiatrist,2,Auto,No,1,Yes,Partial,2657,0
41893,578,Jodi Hammond,561-596-1324,donbarnett@example.net,35,Male,Married,0,Jennifermouth,"Engineer, maintenance (IT)",1,Health,No,3,Yes,Partial,2767,0
37750,880,Ashley Guzman,2964695403,qsharp@example.com,64,Male,Married,4,South Joyce,Fine artist,2,Home,Yes,1,No,Partial,3024,1
29485,938,Michelle Stone,399.789.0534x12683,debra80@example.com,24,Female,Single,2,North John,Sports administrator,0,Home,Yes,5,Yes,Full,2014,0
13070,330,Kathryn Compton,856.539.7494x51230,jessica49@example.com,55,Female,Single,0,Blairville,Geochemist,2,Auto,Yes,1,No,Partial,4102,1
60211,501,Justin Salas,318.588.6355,thomasluna@example.org,61,Male,Married,4,West Larryville,"Investment banker, corporate",4,Health,No,3,Yes,Full,3842,0
76099,790,Blake Ramos,823-807-7012x2921,fergusonmichael@example.net,52,Female,Married,0,Longton,Web designer,3,Auto,Yes,1,No,Full,4190,0
89591,892,Terri Hill,7536790259,joshuawilliams@example.net,45,Male,Single,3,Natalieview,Forest/woodland manager,0,Health,Yes,2,No,Full,3306,0
81078,167,Gary Curtis,(820)959-9496,qoconnell@example.com,20,Male,Single,0,Sharonmouth,Environmental manager,2,Home,Yes,0,No,Partial,1725,1
53734,821,Jessica Smith,699.676.3545x058,wsmith@example.net,36,Female,Single,5,Jasonshire,"Designer, interior/spatial",3,Health,No,4,No,Partial,1723,0
57232,836,Ashley Ferrell,001-516-257-4352,meagan10@example.org,20,Female,Married,4,Lake Chelseahaven,Warden/ranger,4,Health,No,3,Yes,Full,2338,1
91680,806,Michael Hamilton,(631)364-5087x3496,jeffrey26@example.org,59,Female,Single,1,New Joshuastad,Health promotion specialist,4,Health,Yes,0,Yes,Partial,3522,0
26086,521,Brenda Cooper,(957)394-5203x63683,scottnavarro@example.org,66,Male,Married,0,New Paulburgh,Optometrist,5,Home,Yes,1,Yes,Full,3709,0
80771,960,Christopher Hall,391.251.1379x8564,pughmichelle@example.net,31,Female,Married,2,Teresaland,Scientific laboratory technician,0,Auto,Yes,2,Yes,Full,1070,1
